symbol,mint,channel,msg_id,call_time_utc,pool_addr,timeframe,supply,earliest_mc,earliest_ts_utc,entry_mc,peak_mc,peak_ts_utc,now_mc,peak_gain_pct,now_gain_pct,drawdown_pct,minutes_to_peak,error
Bank,2jCt3hj9vd7YpV7Sr3VA5nk3tdSpJtZezeoJXW4Xpump,devcabal,6018,2026-05-23T09:01:13+00:00,Au6S1Lr73jmmqfXUR7VTugsmmy74Jix4w8YUhe9PwPrj;G4CJLQmTEc7mQzgw8kE18YRpEA7NGCXjzoGrk1SwskJ5;CjehVMm96CZLrpZNhmUQhDf47WmHqMQmL99AFqfpsqwD;4M3SWPHELiyry3YvPuDgKxNRXwnfVKY7AZamRtYMLmGg;5VVnFfLsbZDDie7huHh3kpkWh2k8K9J1M3HTxLWxQYCx;9rnSBcAG3JTmdjiq15jFoEpByMvvbHqWhAedhrAXL9pH,minute/1,1000000000,56792.89,2026-05-21T19:01:00+00:00,2235695.85,2377651.45,2026-05-23T09:06:00+00:00,334546.22,6.35,-85.04,-85.93,4.8,
RICH,5hiLgyybrAYPpUwNFa38agfZ8iEtnahWKAPixcfspump,devcabal,6056,2026-05-23T20:01:32+00:00,3hCWyGJyuvjxrgLvu6QQgrTeDWYfUvvdPNk6SHXiP1Hj;2meMYhDTjQJnUaciRWJP6xdd8kuFMh2GkEXUsgQ1YWnq;BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3;J4ouHoPpf3spXVsjXtLNphA62qW1Q9cAGSULGgwe5KvT;BCedQLEAEZhbLupyg9BXnNKeRzY4xt63S83VN7RYDLQi;DCfZg9Qy3WL9iKNmt6C2qcyLEMgGH9sJeKZVdUMZ2BqG;DGdeXvtHkEWJ8HpEit8MhCAKAfDVQGYu1yCvXRhGwVzL;6SDRS9Ans2gWP98GavytotoRXL3RPV85yNmGQME8fep9,minute/1,1000000000,2462.10,2026-05-22T20:45:00+00:00,2776634.33,9250871.87,2026-05-23T22:02:00+00:00,1029777.99,233.17,-62.91,-88.87,120.5,
Stake,5s7tf6ih2CEZf7ZPNkJAtcknAq9DL5GsWHMMT3Jdpump,devcabal,6091,2026-05-24T20:01:20+00:00,EyUhvULaCx9N1a3mj4LZTs6ju7Ejk49sFmtjNe65MPNv;ASic9uodfh4U4DEjgJwhN7VYEcirheyWhB18P3qJYWs4;AskX528VpvvjZwzNC34A1dja62F6b2T6YKuDkB7f3Z2p;74rUJcAN94inRM6dQtWLV3q1rXAG9TjQTxwDt33vVcos;7ESaGAygVqPc9MGNLsRZMmArE5GQctqMVewoBgzpyyMN,minute/1,829983560,2156.10,2026-05-24T07:24:00+00:00,1130805.32,1600518.64,2026-05-25T11:04:00+00:00,113519.10,41.54,-89.96,-92.91,902.7,
HOPPY,2RWndXkxWkaKhGjE7dZivVbK5qXtpwnCZJ1jpnxapump,devcabal,6134,2026-05-25T20:01:16+00:00,9o9hsTQrD8yv7b3NWD742SmrE9Ad6ddHEwXzwU466QjN;EUHR74YGK3becXsG1GVisVMTJjMSZUnW9YDwB91cdU1f;FM7d3QNAonHn8ZBgEWcQijB1x8y5EY3fqHTe8MKafYhr;299TtJ5CziJxsFk9XpMDjSN3RSfehHYU6EFn3jrTqgV1,minute/1,1000000000,190236.74,2026-05-25T14:23:00+00:00,1402629.07,1983890.21,2026-05-26T13:26:00+00:00,72557.44,41.44,-94.83,-96.34,1044.7,
ชั้ง,2kBH6UcR8TitebUbKNYNvjUkSFWaiFBJ7nAPTKQwpump,devcabal,6175,2026-05-26T20:01:15+00:00,Hy38ks9sS5w3wwZY4Rbsnq1JMZGWS16z4TE42MjcQqho;E7YWq61yHZxZxcPvDg3imN9Ucd8Ga7byJrjtd3xWmdAk;H9h8qEG41S2Sb4VfV2kQ9ba48anywfxaDGxnwDjaPGJn;hGRWuGFxjA8oXyKM1RjPUufyf7rMsQkJTAbtiaNXd4w;ECL1tz8gxCJ7JCXdh8GvRgp67RZF1GiekBQeGnB6tVV9,minute/1,1000000000,4700.02,2026-05-26T10:07:00+00:00,889600.95,1910188.09,2026-05-27T09:45:00+00:00,116531.24,114.72,-86.90,-93.90,823.8,
FCM,Hkpi2SkNWm5LogyY1Bz4zYTq5REVvco2aYWd1tYppump,devcabal,6221,2026-05-27T20:01:27+00:00,rxFKDunvinPubDZdYN68Rtm3bh2T9S5JYTpai8E4ZBi;FkGUBBLu8GGxhZy9UJiGCbD6YiFz4XustYuKgbvrL3F;8KwbDZzXMYjAKNJKqk6bV7gKGsqeyjNDrZEt1PX6ygoN;6a8g1nRVR6HaRnQ8QFMJSDWdnuD2psvsWgw1A9sA6GUZ;Ha6tpzvpxRfCNxXz4dWGgmWdoj7zKd6pj1z58XWBqdGZ,minute/1,1000000000,143385.56,2026-05-26T17:03:00+00:00,4368797.47,5319432.96,2026-05-28T04:01:00+00:00,2961861.77,21.76,-32.20,-44.32,479.6,
250,BUG9jJ6MZcxbXaDVqq199HvWafMSP4pYHVFrZfLmpump,devcabal,6264,2026-05-28T20:00:32+00:00,C3W4oqFjiFEKLdqUpa23htx1HZ7byK4HsCgnetP2gwmU;ByZ3SUPArsig8Uxoy842Jfqg36kvbkvf5M8232Y9tTJF;DAJAWMJvod6bb22571iqbgGzCxoJCkDxq33z9azBcSEg;EegTYqEWaZAKYAzrQwvNqNW9YDZmCjWqK4ssju4kuck7;Dguo4PDVy7t8bdTTwC8s2Hx7xi6SaFun2uEtqsGuJU14;BqrcRt8wHZN5G5mM67i7c2jQF5m3gp6FjqJeKuMgUv52,minute/1,1000000000,4103.14,2026-05-28T12:43:00+00:00,801609.31,1182129.88,2026-05-29T00:11:00+00:00,130320.58,47.47,-83.74,-88.98,250.5,
CUM,oqU4DdYCbdSf9j74vnEgvCn1YzNfYQEPWaC6pu6pump,devcabal,6310,2026-05-29T20:01:10+00:00,GKDdjR8Nm4Y1m4KTWb9LYLMpvTH48W1tEdx85oqD1Wcu;2AC6TV6D6G9dgV6BGG18uVhsvcrUM1iiEVg5fPmimt3i;7VuEfNTTyt7TA9NMfQ6uMtzPwdtUeUyQ9hwPAzkEbJvH;ByzWLwSA8MzEwVRuqtSxpEjrBB9EHR5pE6m7RBUWYSp6,minute/1,1000000000,3830.26,2026-05-29T15:37:00+00:00,1275267.25,2473882.64,2026-05-29T21:06:00+00:00,806338.27,93.99,-36.77,-67.41,64.8,
LOA,EhHyfjRwj2jhmSE7GW5uJfizaLcNDa5C4HWPiSqjpump,devcabal,6352,2026-05-30T09:00:53+00:00,EnYMBPWxnVJ7EBaV3D9sTtiCmiDtM658LorfqVLwvSCF;6mw8aTUVRECfmX2pVmffbaM3zxm2BgYzMu29VnHzUxku,minute/1,1000000000,34203.79,2026-05-23T09:48:00+00:00,875424.90,1781099.51,2026-05-30T17:42:00+00:00,547639.73,103.46,-37.44,-69.25,521.1,
ballish,CmGsBfi3Zbsygpt1FcvFcQa3mD2drYGX6w5WdsWZpump,devcabal,6399,2026-05-30T20:01:27+00:00,6ZfY55nrvu2bpcHEX1ZfpcUkPyvqGWWiy5iL3YQz7Qr7;GiA1Fnzp3E7DN5bRAERVCaFCYzZp8Hs1XM1LXziEEQ5B;HGLM6jmNHb1JKV1kNGM65ZcNQv6Vi4G4NY7FDGVsYcfa,minute/1,1000000000,3630.66,2026-05-29T22:55:00+00:00,686435.82,708066.43,2026-05-30T20:02:00+00:00,189539.01,3.15,-72.39,-73.23,0.6,
